industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170206,(direct),(none),(not set),(not set),desktop,1057,6506,154,488886.0,24,127,28,4,436,343
bankingFinance,Renins,renins.com,20170206,(direct),(none),(not set),(not set),mobile,816,1726,229,195001.0,47,1,1,307,321,250
bankingFinance,Renins,renins.com,20170206,(direct),(none),(not set),(not set),tablet,120,456,24,29633.0,8,5,1,33,58,49
bankingFinance,Renins,renins.com,20170206,192.168.1.53:8080,referral,(not set),(not set),desktop,2,4,0,107.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,192.168.1.65,referral,(not set),(not set),desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,194.190.22.84,referral,(not set),(not set),desktop,3,50,0,5159.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Banki.ru_RKS,button,Accident,(not set),desktop,2,21,0,651.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,Banki.ru_RKS,button,kasko,(not set),tablet,1,2,0,1352.0,0,0,0,1,1,1
bankingFinance,Renins,renins.com,20170206,CPA,cpc,nectarin,mail2,desktop,2,4,0,88.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Domovik-mic.ru,promopage,Property,general-page,desktop,1,2,0,57.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,E-mail_Base-Accident,(not set),SummerDigest,(not set),desktop,4,16,1,180.0,0,0,0,0,3,3
bankingFinance,Renins,renins.com,20170206,E-mail_Base-Accident,(not set),SummerDigest,(not set),mobile,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Glavbuh,static,kasko__mskspbekb,offroad,desktop,1,3,0,12.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,InGuru_NewMSKSPB,banner,EPolicy,930x100,desktop,1,24,0,1205.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,desktop,2,17,0,335.0,0,1,0,0,1,1
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,mobile,2,2,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,house_broker_mskspbekb,NYP,desktop,1,3,0,7.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,30,139,5,4442.0,3,3,2,0,21,19
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,18,23,0,3058.0,2,0,0,17,16,13
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,4,23,0,2182.0,0,1,0,2,4,2
bankingFinance,Renins,renins.com,20170206,Inguru.ru,cpa,property_broker_mskspbekb,NYP,tablet,1,1,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Inguru.ru_Address,TGB,NYP,1,desktop,6,25,0,1707.0,0,2,0,0,5,5
bankingFinance,Renins,renins.com,20170206,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,desktop,8,64,0,1499.0,7,0,0,0,8,1
bankingFinance,Renins,renins.com,20170206,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,mobile,6,13,0,1232.0,2,0,0,4,5,2
bankingFinance,Renins,renins.com,20170206,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,tablet,2,17,0,720.0,2,0,1,0,2,0
bankingFinance,Renins,renins.com,20170206,Inguru.ru_OSAGOCalc,Set,OSAGO,1,desktop,1,3,0,51.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Meduza,cpc,kasko_telematika_rf,kartochki,mobile,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,MobailApp,free,TravelApp,(not set),mobile,14,74,1,6428.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru,cpa,kasko__ekb,CheapestKasko,desktop,3,12,0,993.0,0,0,0,0,3,3
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru,cpa,kasko__ekb,CheapestKasko,mobile,1,1,0,7.0,0,0,0,1,1,1
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru_All,TGB,NYP,Text,desktop,5,19,2,353.0,2,0,0,0,3,2
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru_All,TGB,NYP,Text,mobile,3,3,0,21.0,0,0,0,3,3,2
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru_All,TGB,NYP,Text,tablet,1,1,0,0.0,0,0,0,1,1,0
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru_KaskoAbout,Set,Kasko-30,4,desktop,1,9,0,133.0,1,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,Moneymatika.ru_KaskoAbout,Set,Kasko-30,4,mobile,1,2,0,377.0,1,0,0,1,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,cpc,PDD_letter,property_act,desktop,1,21,0,1434.0,0,1,0,0,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,cpc,falldigest_letter_rf,auto_act,desktop,1,3,0,25.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,cpc,falldigest_letter_rf,auto_act,mobile,1,2,0,190.0,1,0,0,1,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,cpc,falldigest_letter_rf,auto_deact,desktop,1,7,0,128.0,1,0,0,0,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,cpc,november_trip_letter_rf,travel_deact,mobile,2,2,0,160.0,0,0,0,2,2,2
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,NY2017_letter_rf,travel_deact,mobile,2,5,0,189.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,app_for_trip_letter_rf,travel_all,desktop,2,21,0,1874.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,kasko_lostcart_feb_rf,base_kasko,desktop,2,9,0,231.0,0,0,1,0,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,kasko_lostcart_feb_rf,base_kasko,tablet,1,12,0,251.0,0,0,1,0,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,osago_lostcart_feb_rf,base_osago,desktop,3,21,0,684.0,0,2,0,0,3,2
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,osago_lostcart_feb_rf,base_osago,mobile,1,1,0,299.0,0,0,0,1,1,1
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,real_discount_letter_rf,avto_deact,desktop,2,30,0,1773.0,0,1,1,0,2,2
bankingFinance,Renins,renins.com,20170206,RI_mail,rassylka,real_discount_letter_rf,travel_deact,desktop,1,17,0,769.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Renins.ru,cpc,accident_footer_msk_spb,icon,mobile,1,1,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170206,Renins.ru,cpc,kasko_bu_msk_spb,promopage,desktop,4,36,1,768.0,1,1,1,0,3,3
bankingFinance,Renins,renins.com,20170206,Renins.ru,cpc,kasko_economatika_calc_msk_spb,promopage,desktop,9,66,1,2275.0,1,0,3,0,6,8
